[GIN] 2026/03/08 - 16:01:58 | 200 |      34.708µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:58 | 200 |       8.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:58 | 200 |       6.792µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:00 | 200 |      14.667µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:00 | 200 |       6.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:01 | 200 |      41.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:01 | 200 |      19.792µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:01 | 200 |       8.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:04 | 200 |      39.041µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:04 | 200 |      22.208µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:04 | 200 |        34.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:05 | 200 |      16.458µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:05 | 200 |         6.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:07 | 200 |       9.958µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:07 | 200 |       5.959µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:07 | 200 |       3.541µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:10 | 200 |      17.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:10 | 200 |       15.25µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:10 | 200 |      38.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:10 | 200 |        15.5µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:10 | 200 |       6.459µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:13 | 200 |      42.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:13 | 200 |        12.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:13 | 200 |      46.791µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:15 | 200 |      15.791µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:15 | 200 |       8.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:16 | 200 |       80.25µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:16 | 200 |      10.542µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:16 | 200 |       8.292µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:18 | 200 |          1m7s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:02:18 | 200 |      29.708µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:19 | 200 |      40.417µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:19 | 200 |      14.334µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:20 | 200 |      15.584µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:20 | 200 |       5.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:21 | 200 |          16µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:22 | 200 |      10.542µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:22 | 200 |       6.208µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:24 | 200 |        11.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:25 | 200 |      15.542µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:25 | 200 |      11.666µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:25 | 200 |       14.25µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:25 | 200 |       5.792µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:27 | 200 |       46.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:28 | 200 |        10.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:28 | 200 |       4.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:30 | 200 |      20.083µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:30 | 200 |      15.541µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:30 | 200 |        6.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:31 | 200 |      11.542µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:31 | 200 |      16.541µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:33 | 200 |      41.542µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:34 | 404 |    4.205292ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/03/08 - 16:02:34 | 200 |      11.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:34 | 200 |       3.208µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:35 | 200 |      16.167µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:02:35 | 200 |       5.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:02:35 | 404 |    1.312708ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/03/08 - 16:02:36 | 404 |    1.208667ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/03/08 - 16:02:36 | 200 |      10.625µs |       127.0.0.1 | GET      "/api/ps"
